Title,IR,FlowHt,Const,Var,Sand,Ash,delIR,delFlow
base,1.0000 ,0.0000 ,1,0,1,0,0.0000 ,0
base,0.9995 ,0.1000 ,1,0,1,0,-0.0005 ,0.1000 
base,0.9985 ,0.2000 ,1,0,1,0,-0.0010 ,0.1000 
base,0.9970 ,2.0000 ,1,0,1,0,-0.0015 ,1.8000 
base,0.9950 ,3.8000 ,1,0,1,0,-0.0020 ,1.8000 
base,0.9925 ,5.6000 ,1,0,1,0,-0.0025 ,1.8000 
base,0.9895 ,7.4000 ,1,0,1,0,-0.0030 ,1.8000 
base,0.9860 ,9.2000 ,1,0,1,0,-0.0035 ,1.8000 
base,0.9820 ,11.0000 ,1,0,1,0,-0.0040 ,1.8000 
base,0.9775 ,12.8000 ,1,0,1,0,-0.0045 ,1.8000 
base,0.9725 ,14.6000 ,1,0,1,0,-0.0050 ,1.8000 
base,0.9670 ,16.4000 ,1,0,1,0,-0.0055 ,1.8000 
base,0.9610 ,18.2000 ,1,0,1,0,-0.0060 ,1.8000 
base,0.9545 ,20.0000 ,1,0,1,0,-0.0065 ,1.8000 
base,0.9475 ,21.8000 ,1,0,1,0,-0.0070 ,1.8000 
base,0.9400 ,23.6000 ,1,0,1,0,-0.0075 ,1.8000 
base,0.9320 ,25.4000 ,1,0,1,0,-0.0080 ,1.8000 
base,0.9235 ,27.2000 ,1,0,1,0,-0.0085 ,1.8000 
base,0.9145 ,29.0000 ,1,0,1,0,-0.0090 ,1.8000 
base,0.9050 ,30.8000 ,1,0,1,0,-0.0095 ,1.8000 
base,0.8950 ,32.6000 ,1,0,1,0,-0.0100 ,1.8000 
base,0.8845 ,34.4000 ,1,0,1,0,-0.0105 ,1.8000 
base,0.8735 ,36.2000 ,1,0,1,0,-0.0110 ,1.8000 
base,0.8620 ,38.0000 ,1,0,1,0,-0.0115 ,1.8000 
base,0.8500 ,39.8000 ,1,0,1,0,-0.0120 ,1.8000 
base,0.8375 ,41.6000 ,1,0,1,0,-0.0125 ,1.8000 
base,0.8245 ,43.4000 ,1,0,1,0,-0.0130 ,1.8000 
base,0.8110 ,45.2000 ,1,0,1,0,-0.0135 ,1.8000 
base,0.7970 ,47.0000 ,1,0,1,0,-0.0140 ,1.8000 
base,0.7825 ,48.8000 ,1,0,1,0,-0.0145 ,1.8000 
base,0.7675 ,50.6000 ,1,0,1,0,-0.0150 ,1.8000 
base,0.7520 ,52.4000 ,1,0,1,0,-0.0155 ,1.8000 
base,0.7360 ,54.2000 ,1,0,1,0,-0.0160 ,1.8000 
base,0.7195 ,56.0000 ,1,0,1,0,-0.0165 ,1.8000 
base,0.7025 ,57.8000 ,1,0,1,0,-0.0170 ,1.8000 
base,0.6850 ,59.6000 ,1,0,1,0,-0.0175 ,1.8000 
base,0.6670 ,61.4000 ,1,0,1,0,-0.0180 ,1.8000 
base,0.6485 ,63.2000 ,1,0,1,0,-0.0185 ,1.8000 
base,0.6295 ,65.0000 ,1,0,1,0,-0.0190 ,1.8000 
base,0.6100 ,66.8000 ,1,0,1,0,-0.0195 ,1.8000 
base,0.5900 ,68.6000 ,1,0,1,0,-0.0200 ,1.8000 
base,0.5695 ,70.4000 ,1,0,1,0,-0.0205 ,1.8000 
base,0.5485 ,72.2000 ,1,0,1,0,-0.0210 ,1.8000 
base,0.5270 ,74.0000 ,1,0,1,0,-0.0215 ,1.8000 
base,0.5050 ,75.8000 ,1,0,1,0,-0.0220 ,1.8000 
base,0.4825 ,77.6000 ,1,0,1,0,-0.0225 ,1.8000 
base,0.4595 ,79.4000 ,1,0,1,0,-0.0230 ,1.8000 
base,0.4360 ,81.2000 ,1,0,1,0,-0.0235 ,1.8000 
base,0.4120 ,83.0000 ,1,0,1,0,-0.0240 ,1.8000 
base,0.3875 ,84.8000 ,1,0,1,0,-0.0245 ,1.8000 
base,0.3625 ,86.6000 ,1,0,1,0,-0.0250 ,1.8000 
base,0.3370 ,88.4000 ,1,0,1,0,-0.0255 ,1.8000 
base,0.3110 ,90.2000 ,1,0,1,0,-0.0260 ,1.8000 
base,0.2845 ,92.0000 ,1,0,1,0,-0.0265 ,1.8000 
base,0.2575 ,93.8000 ,1,0,1,0,-0.0270 ,1.8000 
base,0.2300 ,95.6000 ,1,0,1,0,-0.0275 ,1.8000 
base,0.2020 ,97.4000 ,1,0,1,0,-0.0280 ,1.8000 
base,0.1735 ,99.2000 ,1,0,1,0,-0.0285 ,1.8000 
S75A25,1.0000 ,0.0000 ,1,0,0.75,0.25,0.0000 ,0
S75A25,0.9995 ,1.0000 ,1,0,0.75,0.25,-0.0005 ,1.0000 
S75A25,0.9985 ,2.0000 ,1,0,0.75,0.25,-0.0010 ,1.0000 
S75A25,0.9970 ,3.0000 ,1,0,0.75,0.25,-0.0015 ,1.0000 
