Title,IR,FlowHt,Const,Var,Sand,Ash,delIR,delFlow
S40A60,1,0,1,0,0.4,0.6,0.0000 ,0
S40A60,0.9995,0.58,1,0,0.4,0.6,-0.0005 ,0.5800 
S40A60,0.9985,1.16,1,0,0.4,0.6,-0.0010 ,0.5800 
S40A60,0.997,1.74,1,0,0.4,0.6,-0.0015 ,0.5800 
S40A60,0.995,2.32,1,0,0.4,0.6,-0.0020 ,0.5800 
S40A60,0.9925,2.9,1,0,0.4,0.6,-0.0025 ,0.5800 
S40A60,0.9895,3.6,1,0,0.4,0.6,-0.0030 ,0.7000 
S40A60,0.986,4.2,1,0,0.4,0.6,-0.0035 ,0.6000 
S40A60,0.982,4.7,1,0,0.4,0.6,-0.0040 ,0.5000 
S40A60,0.9775,5.25,1,0,0.4,0.6,-0.0045 ,0.5500 
S40A60,0.9725,5.65,1,0,0.4,0.6,-0.0050 ,0.4000 
S40A60,0.967,5.9333,1,0,0.4,0.6,-0.0055 ,0.2833 
S40A60,0.961,6.2167,1,0,0.4,0.6,-0.0060 ,0.2834 
S40A60,0.9545,6.4611,1,0,0.4,0.6,-0.0065 ,0.2444 
S40A60,0.9475,6.7056,1,0,0.4,0.6,-0.0070 ,0.2445 
S40A60,0.94,6.95,1,0,0.4,0.6,-0.0075 ,0.2444 
S40A60,0.932,7.1,1,0,0.4,0.6,-0.0080 ,0.1500 
S40A60,0.9235,7.3,1,0,0.4,0.6,-0.0085 ,0.2000 
S40A60,0.9145,7.5,1,0,0.4,0.6,-0.0090 ,0.2000 
S40A60,0.905,7.7,1,0,0.4,0.6,-0.0095 ,0.2000 
S40A60,0.895,7.875,1,0,0.4,0.6,-0.0100 ,0.1750 
S40A60,0.8845,8.05,1,0,0.4,0.6,-0.0105 ,0.1750 
S40A60,0.8735,8.225,1,0,0.4,0.6,-0.0110 ,0.1750 
S40A60,0.862,8.4,1,0,0.4,0.6,-0.0115 ,0.1750 
S40A60,0.85,8.56,1,0,0.4,0.6,-0.0120 ,0.1600 
S40A60,0.8375,8.72,1,0,0.4,0.6,-0.0125 ,0.1600 
S40A60,0.8245,8.88,1,0,0.4,0.6,-0.0130 ,0.1600 
S40A60,0.811,9.04,1,0,0.4,0.6,-0.0135 ,0.1600 
S40A60,0.797,9.2,1,0,0.4,0.6,-0.0140 ,0.1600 
S40A60,0.7825,9.3375,1,0,0.4,0.6,-0.0145 ,0.1375 
S40A60,0.7675,9.475,1,0,0.4,0.6,-0.0150 ,0.1375 
S40A60,0.752,9.6125,1,0,0.4,0.6,-0.0155 ,0.1375 
S40A60,0.736,9.75,1,0,0.4,0.6,-0.0160 ,0.1375 
S40A60,0.7195,9.8667,1,0,0.4,0.6,-0.0165 ,0.1167 
S40A60,0.7025,9.9833,1,0,0.4,0.6,-0.0170 ,0.1166 
S40A60,0.685,10.1,1,0,0.4,0.6,-0.0175 ,0.1167 
S40A60,0.667,10.2333,1,0,0.4,0.6,-0.0180 ,0.1333 
S40A60,0.6485,10.3667,1,0,0.4,0.6,-0.0185 ,0.1334 
S40A60,0.6295,10.5,1,0,0.4,0.6,-0.0190 ,0.1333 
S40A60,0.61,10.625,1,0,0.4,0.6,-0.0195 ,0.1250 
S40A60,0.59,10.75,1,0,0.4,0.6,-0.0200 ,0.1250 
S40A60,0.5695,10.875,1,0,0.4,0.6,-0.0205 ,0.1250 
S40A60,0.5485,11,1,0,0.4,0.6,-0.0210 ,0.1250 
S40A60,0.527,11.12,1,0,0.4,0.6,-0.0215 ,0.1200 
